City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,junin de los andes,-39.9504,-71.0694,17.08,19,0,6.97,AR,1709414037
239,al kharj,24.155,47.3346,15.32,14,87,4.16,SA,1709414037
240,namibe,-15.1961,12.1522,24.92,68,91,1.73,AO,1709414037
241,gadzhiyevo,69.2551,33.3362,-0.72,91,99,6.28,RU,1709414037
242,kavaratti,10.5669,72.642,27.61,74,19,4.39,IN,1709413903
243,dowlatabad,32.7998,51.6955,-1.18,80,0,2.06,IR,1709414037
244,alik ghund,30.4896,67.5226,-8.2,77,68,5.73,PK,1709414037
245,sao jose da coroa grande,-8.8978,-35.1478,28.62,77,74,5.53,BR,1709414038
246,sirte,31.2089,16.5887,16.1,69,100,2.79,LY,1709414038
247,soio,-6.1349,12.3689,27.14,87,79,2.92,AO,1709414038
248,nahrin,36.0649,69.1334,-6.37,96,100,0.57,AF,1709414038
249,cabo san lucas,22.8909,-109.9124,27.56,44,20,4.63,MX,1709413805
250,sinop,41.7711,34.8709,8.9,83,100,1.02,TR,1709414038
251,penzance,50.1186,-5.5371,5.38,71,73,9.77,GB,1709414038
252,arraial do cabo,-22.9661,-42.0278,25.92,73,0,3.6,BR,1709414039
253,medicine hat,50.0501,-110.6683,-7.38,92,100,7.2,CA,1709414039
254,saldanha,-33.0117,17.9442,17.95,88,99,9.38,ZA,1709414039
255,flying fish cove,-10.4217,105.6791,24.82,94,10,0.0,CX,1709414039
256,palmer,42.1584,-72.3287,8.79,94,100,2.06,US,1709414039
257,buerarema,-14.9594,-39.2997,26.5,92,100,1.59,BR,1709414042
258,kiruna,67.8557,20.2251,-5.49,100,20,3.6,SE,1709414046
259,rahuri,19.3833,74.65,21.86,67,1,2.72,IN,1709414046
260,udon thani,17.3333,102.8333,19.75,67,12,2.59,TH,1709414046
261,igarka,67.4667,86.5833,-12.06,95,100,6.66,RU,1709414047
262,batticaloa,7.7102,81.6924,25.32,82,43,1.75,LK,1709414057
263,bouna,9.2667,-3.0,32.29,39,72,1.93,CI,1709414057
264,milas,37.3164,27.7839,8.64,100,4,1.54,TR,1709414057
265,whitehorse,60.7161,-135.0538,-19.39,52,100,2.24,CA,1709414057
266,callao,-12.0667,-77.15,28.16,57,0,5.14,PE,1709414057
267,cabeceiras de basto,41.5208,-7.972,5.42,98,34,1.71,PT,1709414068
268,kayangel,8.0823,134.7173,27.32,77,100,7.85,PW,1709413939
269,soe,-9.8607,124.284,20.07,94,70,1.04,ID,1709414068
270,shimoda,34.6667,138.95,3.95,70,51,4.29,JP,1709414072
